dataset,dataset_label,sex,sub_key,sub_label,age_key,age_label,disclosure_min_n,n_initial,n_final,n_removed,issue_type,from_axis,to_axis,from_state,to_state,cell_n,n_minors,n_adults,pct_minors,contains_minors
all,All,All,F13,F13 (Sedatives/Hypnotics),all,All ages,5,5669,5606,63,flow,post1,post2,SUD2+_F1,SUD0_F2+,7,1,6,14.3,TRUE
all,All,All,F13,F13 (Sedatives/Hypnotics),all,All ages,5,5669,5606,63,flow,post1,post2,SUD2+_F2+,SUD1_F0,9,0,9,0,FALSE
all,All,All,F13,F13 (Sedatives/Hypnotics),18-25,18-25,5,4421,4357,64,flow,index,post1,SUD1_F1,SUD2+_F0,5,0,5,0,FALSE
all,All,All,F13,F13 (Sedatives/Hypnotics),18-25,18-25,5,4421,4357,64,flow,index,post1,SUD1_F2+,SUD1_F0,6,0,6,0,FALSE
all,All,All,F13,F13 (Sedatives/Hypnotics),18-25,18-25,5,4421,4357,64,flow,index,post1,SUD1_F2+,SUD1_F1,7,0,7,0,FALSE
all,All,All,F13,F13 (Sedatives/Hypnotics),18-25,18-25,5,4421,4357,64,flow,index,post1,SUD1_F2+,SUD2+_F1,6,0,6,0,FALSE
all,All,All,F13,F13 (Sedatives/Hypnotics),18-25,18-25,5,4421,4357,64,flow,index,post1,SUD2+_F1,SUD0_F2+,6,0,6,0,FALSE
all,All,All,F13,F13 (Sedatives/Hypnotics),18-25,18-25,5,4421,4357,64,flow,index,post1,SUD2+_F1,SUD1_F0,7,0,7,0,FALSE
all,All,All,F13,F13 (Sedatives/Hypnotics),18-25,18-25,5,4421,4357,64,flow,index,post1,SUD2+_F1,SUD1_F1,9,0,9,0,FALSE
all,All,All,F13,F13 (Sedatives/Hypnotics),18-25,18-25,5,4421,4357,64,flow,index,post1,SUD2+_F1,SUD2+_F2+,8,0,8,0,FALSE
all,All,All,F13,F13 (Sedatives/Hypnotics),18-25,18-25,5,4421,4357,64,flow,index,post1,SUD2+_F2+,SUD0_F2+,5,0,5,0,FALSE
all,All,All,F13,F13 (Sedatives/Hypnotics),18-25,18-25,5,4421,4357,64,flow,index,post1,SUD2+_F2+,SUD1_F2+,9,0,9,0,FALSE
all,All,All,F13,F13 (Sedatives/Hypnotics),18-25,18-25,5,4421,4357,64,flow,post1,post2,No visit,SUD2+_F2+,5,0,5,0,FALSE
