dataset_label,sex,sub_label,age_label,issue_type,n_flags,min_cell_n,max_cell_n,any_minors,total_minors_across_flags,max_pct_minors
All,Female,F15 (Other stimulants),18-25,flow,26,5,9,FALSE,0,0
All,Female,F15 (Other stimulants),18-25,stratum,2,8,9,FALSE,0,0
All,Female,F17 (Tobacco),18-25,flow,12,5,9,FALSE,0,0
All,Female,F17 (Tobacco),18-25,stratum,2,7,9,FALSE,0,0
All,Female,F19 (Multiple drugs),18-25,flow,18,5,9,FALSE,0,0
All,Male,All SUD,18-25,flow,3,5,9,FALSE,0,0
All,Male,F10 (Alcohol),18-25,flow,7,5,8,FALSE,0,0
All,Male,F11 (Opioids),18-25,flow,29,5,9,FALSE,0,0
All,Male,F12 (Cannabis),18-25,flow,16,5,9,FALSE,0,0
All,Male,F13 (Sedatives/Hypnotics),18-25,flow,34,5,9,FALSE,0,0
All,Male,F15 (Other stimulants),18-25,flow,34,5,9,FALSE,0,0
All,Male,F17 (Tobacco),18-25,flow,11,5,9,FALSE,0,0
All,Male,F17 (Tobacco),18-25,stratum,2,5,8,FALSE,0,0
All,Male,F19 (Multiple drugs),18-25,flow,12,6,9,FALSE,0,0
Sweden,All,All SUD,18-25,flow,3,5,9,FALSE,0,0
Sweden,All,All SUD,All ages,flow,1,5,5,FALSE,0,0
Sweden,All,F10 (Alcohol),18-25,flow,4,5,8,FALSE,0,0
Sweden,All,F11 (Opioids),18-25,flow,25,5,9,FALSE,0,0
Sweden,All,F12 (Cannabis),18-25,flow,15,5,9,FALSE,0,0
Sweden,All,F13 (Sedatives/Hypnotics),18-25,flow,20,5,9,FALSE,0,0
Sweden,All,F15 (Other stimulants),18-25,flow,30,5,9,FALSE,0,0
Sweden,All,F17 (Tobacco),18-25,flow,13,6,9,FALSE,0,0
Sweden,All,F17 (Tobacco),18-25,stratum,2,6,7,FALSE,0,0
Sweden,All,F19 (Multiple drugs),18-25,flow,6,5,9,FALSE,0,0
Sweden,Female,All SUD,18-25,flow,3,5,7,FALSE,0,0
Sweden,Female,F10 (Alcohol),18-25,flow,15,5,9,FALSE,0,0
Sweden,Female,F11 (Opioids),18-25,flow,22,5,9,FALSE,0,0
Sweden,Female,F12 (Cannabis),18-25,flow,25,5,9,FALSE,0,0
Sweden,Female,F13 (Sedatives/Hypnotics),18-25,flow,23,5,8,FALSE,0,0
Sweden,Female,F13 (Sedatives/Hypnotics),18-25,stratum,3,5,7,FALSE,0,0
Sweden,Female,F13 (Sedatives/Hypnotics),All ages,stratum,2,5,7,FALSE,0,0
Sweden,Female,F15 (Other stimulants),18-25,flow,23,5,9,FALSE,0,0
Sweden,Female,F15 (Other stimulants),18-25,stratum,2,7,9,FALSE,0,0
Sweden,Female,F17 (Tobacco),18-25,flow,11,5,9,FALSE,0,0
Sweden,Female,F17 (Tobacco),18-25,stratum,2,7,8,FALSE,0,0
Sweden,Female,F19 (Multiple drugs),18-25,flow,21,5,9,FALSE,0,0
Sweden,Male,All SUD,18-25,flow,3,6,9,FALSE,0,0
Sweden,Male,F10 (Alcohol),18-25,flow,10,5,9,FALSE,0,0
Sweden,Male,F11 (Opioids),18-25,flow,31,5,9,FALSE,0,0
Sweden,Male,F12 (Cannabis),18-25,flow,15,5,9,FALSE,0,0
Sweden,Male,F13 (Sedatives/Hypnotics),18-25,flow,29,5,9,FALSE,0,0
Sweden,Male,F15 (Other stimulants),18-25,flow,34,5,9,FALSE,0,0
Sweden,Male,F17 (Tobacco),18-25,flow,11,5,8,FALSE,0,0
Sweden,Male,F17 (Tobacco),18-25,stratum,2,5,7,FALSE,0,0
Sweden,Male,F19 (Multiple drugs),18-25,flow,12,5,9,FALSE,0,0
